model,outcome,term,coefficient,standard_error,p_value,odds_ratio,or_ci_lower,or_ci_upper
Model 3: + ICU type,mortality_3d,icu_type_Surgery/Vascular/Intermediate,-20.84728045529547,0.2027128121411671,0.0,8.833669274222736e-10,5.937336687049613e-10,1.3142881557744948e-09
Model 3: + ICU type,mortality_3d,icu_type_Surgical Intensive Care Unit (SICU),1.860659901284567,0.1399527446042801,2.477532503064454e-40,6.427977202555413,4.885919818891865,8.456727176898967
Model 3: + ICU type,mortality_3d,icu_type_Trauma SICU (TSICU),1.998259241336423,0.13704148792758383,3.68775570815664e-48,7.3762047243268505,5.638752542344403,9.649012920251431
Model 4: + baseline biomarkers,mortality_3d,const,-7.06253225203428,0.20224505264732603,3.6111249621001643e-267,0.000856606202447812,0.0005762751782834273,0.0012733052085598807
Model 4: + baseline biomarkers,mortality_3d,riwt,1.0393314208337692,0.0693406961035236,8.695467796308312e-51,2.8273260909854385,2.4680445422854316,3.238909463669847
Model 4: + baseline biomarkers,mortality_3d,age,0.01796435587416146,0.002133751005421236,3.7924669690085337e-17,1.0181266855073214,1.0138776942174044,1.0223934836067625
Model 4: + baseline biomarkers,mortality_3d,sex_M,-0.08369076268969095,0.06298930726640894,0.18396336529782642,0.9197156225098602,0.8128997088896943,1.0405672643726829
Model 4: + baseline biomarkers,mortality_3d,icu_type_Coronary Care Unit (CCU),2.211276590503317,0.13370718183935484,1.9474376100586574e-61,9.12736086104583,7.023174540903807,11.861974353983568
Model 4: + baseline biomarkers,mortality_3d,icu_type_Intensive Care Unit (ICU),-21.436659047474382,0.6265123202009888,1.4047324331036993e-256,4.899787723610739e-10,1.43512262568764e-10,1.67288281201358e-09
Model 4: + baseline biomarkers,mortality_3d,icu_type_Medical Intensive Care Unit (MICU),2.0308397643794813,0.1256046327793797,8.410795335026177e-59,7.620483082780937,5.957549315494046,9.747592397417645
Model 4: + baseline biomarkers,mortality_3d,icu_type_Medical/Surgical Intensive Care Unit (MICU/SICU),2.120160737517057,0.13160636364525585,2.174985627206557e-58,8.332476721671412,6.437994023990162,10.784441249630785
Model 4: + baseline biomarkers,mortality_3d,icu_type_Medicine,-20.2551607744263,0.42607483196505813,0.0,1.5969651750594243e-09,6.928191623395277e-10,3.6810439274524002e-09
Model 4: + baseline biomarkers,mortality_3d,icu_type_Medicine/Cardiology Intermediate,-20.805923035009055,1.0104900693538805,3.378342888307942e-94,9.206666994593089e-10,1.2704913968184735e-10,6.6716482584289825e-09
Model 4: + baseline biomarkers,mortality_3d,icu_type_Neuro Intermediate,-20.55959741125353,0.1462262752019228,0.0,1.177823714257736e-09,8.84325733596495e-10,1.5687304453144858e-09
Model 4: + baseline biomarkers,mortality_3d,icu_type_Neuro Stepdown,-20.370777520634487,0.2269238318490043,0.0,1.4226030344014203e-09,9.118550651341445e-10,2.219430993883226e-09
Model 4: + baseline biomarkers,mortality_3d,icu_type_Neuro Surgical Intensive Care Unit (Neuro SICU),3.044451081652602,0.22809518971898682,1.2284819673727914e-40,20.99850157597422,13.428680086858957,32.83547344818231
Model 4: + baseline biomarkers,mortality_3d,icu_type_PACU,-21.45987882095743,0.39706009344704674,0.0,4.787326477699822e-10,2.1984413370858878e-10,1.0424883492440629e-09
Model 4: + baseline biomarkers,mortality_3d,icu_type_Surgery/Trauma,-20.43026987746449,0.6104378990205696,1.3982138726381701e-245,1.3404373743592956e-09,4.0517332624224933e-10,4.43457710122055e-09
Model 4: + baseline biomarkers,mortality_3d,icu_type_Surgery/Vascular/Intermediate,-20.779907308255126,0.2149614258592601,0.0,9.44932794159659e-10,6.200481615390441e-10,1.4400461784485998e-09
Model 4: + baseline biomarkers,mortality_3d,icu_type_Surgical Intensive Care Unit (SICU),1.5520513985063729,0.14394700431749524,4.1821431968862756e-27,4.721145205757266,3.560569323330743,6.260013506209262
Model 4: + baseline biomarkers,mortality_3d,icu_type_Trauma SICU (TSICU),1.7820023978130353,0.1417375239052903,2.9891649400784538e-36,5.941742246221525,4.500560550070315,7.844423050809088
Model 4: + baseline biomarkers,mortality_3d,lactate_first,0.23269434005472459,0.010163080315406355,5.087506464122556e-116,1.2619956788382554,1.237106355961357,1.2873857496017727
Model 4: + baseline biomarkers,mortality_3d,creatinine_first,0.12383532846588152,0.014132727439057864,1.91290617924628e-18,1.1318294755564842,1.100908437977031,1.1636189873268943
Model 4: + baseline biomarkers,mortality_3d,wbc_first,0.009013512974585958,0.001884115271575282,1.7188358452558968e-06,1.0090542570062722,1.00533489504144,1.0127873792150723
Model 4: + baseline biomarkers,mortality_3d,platelet_first,-8.742375970930875e-05,0.0002874693114992101,0.7610401997749049,0.9999125800616362,0.9993493585021289,1.0004761190461986
Model 1: RIWT only,mortality_1d,const,-5.4621354517599,0.11204042139660395,0.0,0.004244482173249286,0.0034076559031099487,0.005286809886699323
Model 1: RIWT only,mortality_1d,riwt,0.8192910775422193,0.17487757983642563,2.8004110657691298e-06,2.2688907996161367,1.6104881299665197,3.196462839306845
